task_id,case_id,study_title,field,field_type,allowed_labels,source_url,included_local_file,evidence_location_lead,evidence_excerpt_lead,final_label,verified_evidence_locator,brief_reason,confidence,unresolved,reviewer_initials,review_date,completion_check
R2-186,A017,LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/pdf/2507.15058,papers/A017.pdf,feedback p.1; action p.1,"[feedback p.1] drivers, and tuned models to generate valid source code within the con- iteratively self-repair build or runtime errors. Tested on four text of an application. Researchers have found that GitHub’s widely-used Linux libraries, LibLMFuzz produced syntactically Copilot [8], a popular too [action p.1] libraries by pairing an agentic Large Language Model (LLM) with a lightweight tool- driven adoption of generative artificial intelligence in a variety chain (disassembler/compiler/fuzzer) to autonomously analyze of contexts. One such relevant context is the ability of fine- stripped binaries, plan fuzz strategies, gener",feedback interpretation / loop adjustment,p.3; papers/A017.pdf,"feedback interpretation / loop adjustment: p.3“If compilation failed for any reason, the model receives the literal compiler error, enabling it to autonomously correct the errors.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-187,A120,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/abs/2605.03956,papers/A120.pdf,"https://arxiv.org/abs/2605.03956 | Paper pp. 1–5 (PoVSmith workflow), pp. 5–10 (evaluation and PR/CVE-request outcomes). | excerpt pages 2","[p.2] For evaluation, we applied PoVSmith to a dataset of 33⟨𝐴𝑝𝑝, 𝐿𝑖𝑏⟩ Java program pairs, where each App depends on a vulnerable Lib and the vulnerabilities correspond to 20 CVE entries. [p.2] The Threat Model of Supply Chain Attacks.As illustrated in Figure 1, our threat model assumes that an adversary gets to know vulnerabilities in Libs through (1) contributing flawed code to open-source projects, (2) inspecting library implementation, or (3) consulting publicly available vulnerability databases like CVE and NVD [78].",author-reported external clue,p.2; papers/A120.pdf,"论文相关事实为“(4) New software security contributions.Some of the tests output by Codex demonstrate vulnerabilities never reported before, so we filed six pull requests (PRs) and six CVE re- quests to explain those vulnerabilities and PoV demos.”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,ready
R2-188,A128,Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2607.21676,papers/A128.pdf,action p.1; validation p.2,"[action p.1] Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE LINGFENG CHEN, Kyushu University, Japan TAO XIAO∗ , Kyushu University, Japan MASANARI KONDO, Kyushu University, Jap [validation p.2] automatically generating concrete test inputs that make discovered failures or security violations easy for testers to validate and reproduce; (ii) unlike concrete testing that follows a single execution path per run, KLEE can simultaneously explore multiple execution paths; and (iii) because KLEE uses symbolic variables, it does not need to enumerate all possible concrete values for each path, allowing it to explore more program behaviors within a limited time budget. As a result,",candidate analysis; path and input exploration; execution observation; reproduction and validation,p.5；p.6；p.8；p.23; papers/A128.pdf,"candidate analysis: p.6“After pre-processing, the source code is macro-free, which is consistent with the LLVM bitcode binary and ourKLEEtesting environment LLMs for Vulnerability Localization and LLM-Assisted KLEE.Recent work has applied LLMs to vulnerability detection and localization, often with a richer semantic or structural con- text [25, 41, 72, 81].”；path and input exploration: p.23“Directed Greybox Fuzzing. In Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security(Dallas, Texas, USA)(CCS ’17).”；execution observation: p.5“[85]✓runtime logs violation discovery Gerasimov [27] static analyzer warning validation Busse et al.”；reproduction and validation: p.8“Lingfeng Chen, Tao Xiao, Masanari Kondo, and Yasutaka Kamei Improper Restriction of Operations within the Bounds of a Memory Buffer[ 51] (CWE-119), andUse After Free[ 51] (CWE-416) for ASan-enabled replay, together withInteger Overflow or Wraparound[ 56] (CWE-190) andNULL Pointer Dereference[ 57] (CWE-476) for UBSan- validated cases.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-189,A089,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/abs/2604.20179,papers/A089.pdf,"https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 1","[p.1] Third, these tools rely on external JavaScript analysis infrastructure, such as parsers [2], transpilers [1], and instrumentation tools [44]. [p.1] For packages from public benchmarks, LLMVD.js confirms 84% of the vulnerabilities, compared to less than 22% for prior program analysis tools.",failure reuse / strategy update,p.4; papers/A089.pdf,"failure reuse / strategy update: p.4“Oracle-Guided Iterative Reasoning.Another important factor that makes LLM agents well-suited for taint-style vulnerability detection and confirmation tasks in Node.js packages is that LLM agents can iteratively refine their answers based on feedback from previous unsuccessful attempts. In contrast, traditional program-analysis techniques typically perform one-shot reasoning over a fixed p”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-190,A136,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2308.03314,papers/A136.pdf,action p.1; validation p.1,"[action p.1] t threat to the entire substantial financial losses over time. Current analysis tools mainly DeFi ecosystem and the safety of users’ assets. target vulnerabilities with fixed control- or data-flow patterns, such Despite the availability of numerous analysis tools [29, 30, 37, 43, as re-entrancy and integer overflow. However, a recent [validation p.1] Pre-training Transformer recognize key variables and statements, which are then validated by (GPT) [44, 49] could aid in detecting logic vulnerabilities in smart static confirmation. Evaluation on diverse datasets with around 400 contracts. A recent technical report [34] attempted to use GPT by contract projects and 3K Solidity files shows that GPTScan ac",candidate analysis; path and input exploration; execution observation,p.1；p.11；p.12; papers/A136.pdf,"candidate analysis: p.1“In this paper, we propose GPTScan, the first tool combining GPT with static analysis for smart contract logic vulnerability detection. Instead of relying solely on GPT to identify vulnerabilities, which can lead to high false positives and is limited by GPT’s pre-trained knowledge, we utilize GPT as a versatile code understanding tool.”；path and input exploration: p.12“Harvey: A greybox fuzzer for smart contracts. InProceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering.”；execution observation: p.11“Additionally, PentestGPT [24] and ChatRepair [60] utilized feedback from the execution results to enhance the performance of the GPT model during interactions.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-191,A061,PentestMCP: LLM and MCP Based Multi-Agent Framework for Automated Penetration Testing,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://assets-eu.researchsquare.com/files/rs-7582841/v1_covered_6b896846-7fe1-4369-88c9-9aba18c15e3f.pdf,papers/A061.pdf,action p.2; validation p.2,"[action p.2] rmation gathering, Vulnerability discovery, and exploitation; the Model Context Protocol (MCP), which standardizes tool orchestration; and retrieval-augmented generation (RAG), which strengthens contextual reasoning and reduces execution errors. In addition, Pen- testMCP employs a dual-path execution strategy together with a Penetration Task Graph (PTG) to achieve autonomous task decomposition, dynamic scheduling, and closed-loop control. W [validation p.2] 3% for Information gathering, 62.3% for Vulnerability discovery, and 56.6% for exploitation. The findings strongly validate that an LLM and MCP-based multi-agent framework holds substantial potential for advancing the automation, scalability, and practical applicability of penetration testing. Keywords: Penetration testing, Large language model (LLM), Model context protocol (MCP), Retrieval-augmented generation (RAG), Multi-agent systems, Cybersecurity",candidate analysis; path and input exploration; execution observation,p.5；p.13；p.16; papers/A061.pdf,"candidate analysis: p.16“Furthermore, to assess the system’s adaptability to vulnerabilities of differ- ent complexity levels, we classified vulnerabilities into three difficulty categories according to their CVSS v3.1 Exploitability Scores [ 48]: • Easy: Exploitability Score≥ 3 • Medium: 2≤ Exploitability Score < 3 • Hard: Exploitability Score < 2 This difficulty classification facilitates the evalu- ation of th”；path and input exploration: p.5“• Limited long-term memory in LLMs—the inability to retain key information across multi- ple interactions impairs the system’s ability to recognize and exploit interrelated vulnerabili- ties across different services.”；execution observation: p.13“3.6.1 Mechanism design The automated tool call mechanism mainly con- sists of two components: • Agent layer: The agent layer runs on the control end of the penetration testing system and is responsible for encapsulating tool inter- faces and relaying request tasks.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-192,A088,AutoPentester: An LLM Agent-based Framework for Automated Pentesting,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2510.05605,papers/A088.pdf,action p.1; validation p.2,"[action p.1] As cyber threats grow in scale and complexity, the demand other hand, focuses on systematically identifying, analyzing, for pentesting has surged, surpassing the capacity of human professionals to meet it effectively. With advances in AI, particu- and prioritizing security risks to help organizations mitigate [validation p.2] d 1. Continue Validate Outcome 2. Exit Security Tools 3. Interactive Mode",candidate analysis; execution observation,p.3；p.4; papers/A088.pdf,"candidate analysis: p.3“Since these models were pre-trained on large volumes of internet data, they have substantial knowledge of software vulnerabilities, cybersecurity tools, and vulnerability exploitation, allowing researchers to use them in security-related tasks such as traffic monitoring, intrusion detection, vulnerability analysis, and pentesting. [13], [21], [22].”；execution observation: p.4“3)Interactive Mode:The framework provides an interac- tive mode for GUI tools such as Burp Suite [26], i.e., the operator manually executes commands based on the generator’s instructions and provides text feedback to AutoPentester.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-193,A084,ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2607.05474,papers/A084.pdf,action p.1; validation p.1,"[action p.1] ties is shadow complexity, where non-trivial computational costs catastrophic runtime slowdowns when triggered by specific, are hidden inside seemingly benign standard library APIs. These worst-case inputs. Real-world incidents, such as the quadratic- arXiv:2607.05474v1 [cs.CR] 6 Jul 2026 costs are not visible at the call site [validation p.1] execution behavior. Execution time measurements are used for validation, and robust statistical growth inference is applied to language runtimes that comprise thousands of diverse library separate true algorithmic blowups from runtime noise, including APIs. garbage collection and JIT compilation effects. Shad",candidate analysis,p.3; papers/A084.pdf,"candidate analysis: p.3“Beyond vulnerability detection, LLMs support cross-language code understanding and have demonstrated strong potential in automated unit test genera- tion, achieving higher coverage than traditional methods [17].”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-194,A036,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/pdf/2603.24221,papers/A036.pdf,feedback p.1; action p.1,"[feedback p.1] botics-based systems. The approach dynamically constructs a shared graph-based memory during execution that captures introduces significant attack surfaces through exposed topics, the observable system state, including network topology, com- services, and nodes, as well as historically permissive default munication channels, vulnerabilities, [action p.1] § Alias Robotics S.L. Calle Venta de la Estrella, 6 Pab. 130 arXiv:2603.24221v1 [cs.RO] 25 Mar 2026 01006 Vitoria-Gasteiz, Álava, Spain Email: paul@aliasrobotics.com",no qualifying label observed,p.2; papers/A036.pdf,"论文描述的相关流程为“This approach improves coordination, reduces redundant exploration, and provides a transparent record of agent reasoning and actions. We evaluate the workflow based on a recent taxonomy [17] for multi- agent LLM-systems and in a robotics capture-the-flag (CTF) environment.”。全文未定位到可核查的“前序信息或反馈 -> 后续动作改变”链条，故不把多模块并列或普通人工评估计为 cross-stage capability。",medium,no,OY,2026-08-24,ready
R2-195,A159,Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/pdf/2506.23034,papers/A159.pdf,feedback p.1; action p.1,"[feedback p.1] in repairing code containing vulnerabilities. Feedback In this paper, we present a comprehensive evaluation of state-of- the-art LLMs by examining their inherent tendencies to produce insecure code, their capability to generate secure code when guided Assessment of Proa [action p.1] uestion LLM-generated Large Language Models (LLMs) have become powerful tools for Vulnerable Code automated code generation. However, these models often overlook critical security practices, which can result in the generation of",no qualifying label observed,p.3; papers/A159.pdf,"论文描述的相关流程为“[35] carefully designed the workflow to explore the root cause in the vulnerable code, then retrieved ex- amples with similar vulnerability issues, and incorporated these examples with ground-truth annotations as demonstrations into the prompt to guide the LLM in generating correct patches.”。全文未定位到可核查的“前序信息或反馈 -> 后续动作改变”链条，故不把多模块并列或普通人工评估计为 cross-stage capability。",medium,no,OY,2026-08-24,ready
R2-196,A103,CHAINTRIX: A multi-pipeline LLM-augmented framework for automated smart-contract security auditing,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://arxiv.org/pdf/2605.09350,papers/A103.pdf,validation p.1; evaluation p.1,"[validation p.1] c structural checks against parsed code, filters the merged finding set, with selected high-confidence findings further validated through symbolic execution and fuzz testing. We evaluate Chaintrix on EVMbench, the smart-contract security benchmark by OpenAI, Paradigm, OtterSec. Chaintrix detects 86 of 120 high-severity vulnerabilities (71.7% recall), with 25 audits scoring 100% recall, placing Chaintrix 26 percentage points above the strongest frontier-model baseline. Keywords: sma [evaluation p.1] rged finding set, with selected high-confidence findings further validated through symbolic execution and fuzz testing. We evaluate Chaintrix on EVMbench, the smart-contract security benchmark by OpenAI, Paradigm, OtterSec. Chaintrix detects 86 of 120 high-severity vulnerabilities (71.7% recall), with 25 audits scoring 100% recall, placing Chaintrix 26 percentage points above the strongest frontier-model baseline. Keywords: smart-contract security, automated auditing, large language models, static analysi",candidate judgment,p.3; papers/A103.pdf,"p.3 报告“Empirical studies evaluating ChatGPT show that LLMs can achieve high recall in vulnerability detection tasks, indicating strong semantic reasoning capabiliti es.”。主要结果是检测、分类或定位候选的判断指标。",high,no,OY,2026-08-24,ready
R2-197,A066,LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/pdf/2507.05272,papers/A066.pdf,evaluation p.1; validation p.2,"[evaluation p.1] on a comprehensive benchmark set of deterministic array programs in Java. Our experiments indicate that LLMs are capable of producing viable candidate WPs, and that this ability can be practically enhanced through FG. Keywords: Weakest Precondition, Fuzzing, Correctness, LLMs, Verification [validation p.2] by enabling iterative phases of FG relies upon two distinct phases of fuzz test- context refinement. ing to validate and ensure the weakness of an Proceeding to the tail-end of the paper, we LLM-generated WP; the results of these fuzzing provide a discussion of our work in Section 5 – phases are then fed back to the LLM as a means of detailing the relevant threats to validity and the",no external trace reported,"p.1, Abstract/Introduction; papers/A066.pdf","论文相关事实为“LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions Daragh King 1*, Vasileios Koutavas 1 and Laura Kovacs 2 1*Department of Computer Science and Statistics, Trinity College Dublin, Dublin, Ireland. 2Faculty of Informatics, TU Wien, Vienna, Austria. *Corresponding author(s). E-mail(s): kingd6@tcd.ie; Contributing autho”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。",medium,no,OY,2026-08-24,ready
R2-198,A100,SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2605.26548,papers/A100.pdf,action p.1; validation p.1,"[action p.1] a benchmark that measures how well frontier models hunt real 53, 54, 59, 64], they typically share the following limitations vulnerabilities by reproducing working PoC inputs from disclosed that prevent them from faithfully evaluating model performance reports, where each task pairs a concrete bug with the specific on realistic long-hor [validation p.1] e auditing. Although an entire codebase to produce a working proof-of-concept (PoC). researchers have recently constructed multiple benchmarks However, such critical security problems remain understudied in existing literature. In this paper, we present SEC-bench Pro, based on real-world CVE or vulnerability instances [21, 22, 26,",candidate analysis; path and input exploration; execution observation; reproduction and validation,p.1；p.3；p.5; papers/A100.pdf,"candidate analysis: p.1“More recently, Anthropic Mythos has reported thousands of vulnerabilities [ 3], while OpenAI Codex Security also targets the identification, validation, and remediation loop for repository-level vulnerability analysis [ 35]. These emerging systems make benchmark fidelity a gating factor for measuring progress in autonomous software security reasoning.”；path and input exploration: p.3“The targets we evaluate test a different capability: the agent must reason about internal execution semantics and synthesize a PoC that reaches a deep engine or kernel state.”；execution observation: p.5“Evaluation Task and Agent Interface The construction phase reconstructs an environment from a known PoC, whereas the evaluation phase withholds that PoC and measures whether an agent can find a triggering input on its own. Each evaluated agent runs unmodified with its default tool set inside a sandboxed container that exposes the vulnerable source tree.”；reproduction and validation: p.5“Evaluation Task and Agent Interface The construction phase reconstructs an environment from a known PoC, whereas the evaluation phase withholds that PoC and measures whether an agent can find a triggering input on its own.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-199,A164,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2503.03586,papers/A164.pdf,action p.1; validation p.5,"[action p.1] vulnerabilities often emerge through multi- hop function calls rather than isolated func- However, a significant gap exists between these tions. While repository-level benchmarks like widely used benchmarks and the requirements for ReposVul and VulEval introduce interproce- real-world vul [validation p.5] d, proposed and evaluated in the repository version corresponding to it is de- VulEval (Wen et al., 2024b), is reproduced in noted as Rf ix . Identifying the precise vul-intro our work based on the original paper. We use commit is more challenging, as pinpointing the ex- it as a baseline that integrates interprocedural act code change that introduces the vulnerability context into LLMs in a deterministic manner. requires considering the complex inter",candidate analysis,p.3; papers/A164.pdf,"candidate analysis: p.3“For repository-level vulnerability detection, Re- posVul (Wang et al., 2024) addresses issues with tangled and outdated patches, using trace-based filtering to ensure data quality and integrating repository-level features to provide richer con- text for detection.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-200,A022,Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2607.13085,papers/A022.pdf,action p.1; validation p.1,"[action p.1] is paper studies that attribution problem directly. Rather baselines. We first run Codex, OpenCode, and Pi with the than introducing another specialised pentesting agent, we same GPT-5 model, budget, target interface, and scoring rule. This phase identifies the strongest same-model baseline and tests evaluate three default, [validation p.1] rity-specific architecture? reflective verification, retrieval, browser-backed validation, and search over attack trees. These designs are plausible and, in Hypothesis. We hypothesise that specialised architecture pro- some results, clearly beneficial. The methodological question vides measurable lift over a plain coding-agent baseline, but",execution observation,p.4; papers/A022.pdf,"execution observation: p.4“RQ Rows Varied RQ1 Codex, OpenCode, and Pi with GPT-5 Coding CLI RQ2 Codex native prompt, detailed security prompt, and whole-system security prompt Prompt content and delivery RQ3 Codex GPT-5 with MAPTA; Codex GPT-5.2 with PentestGPT V2 Plain agent and published harness RQ4 Codex with GPT-5, GPT-5.2, and GPT-5.5 Backbone model B.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-201,A089,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/abs/2604.20179,papers/A089.pdf,"https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 2","[p.2] Ronghao Ni, Mihai Christodorescu, and Limin Jia • A systematic evaluation of a multi-stage ReAct-style LLM agent framework for taint-style vulnerability detection and confirmation in Node.js packages, with direct com- parison against state-of-the-art program-analysis tools and a program-analysis–aided LLM approach. • A multi-dataset evaluation setup for LLM-agent vulnerabil- ity research: combining standard public benchmarks, trans- formed benchmark variants for memorization robustness checks, a private real-world dataset without CVEs/public exploits, and recently released npm packages to assess gen- eralizability under realistic settings. •LLMVD.js identified 36 previously undocumented vuln",author-reported external clue,p.2; papers/A089.pdf,论文相关事实为“We reported all 36 previously unreported validated vulnerabili- ties identified in newly released packages to maintainers and have received acknowledgments from 3 maintainers.”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。,medium,no,OY,2026-08-24,ready
R2-202,A104,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/abs/2510.02694,papers_corrected/A104.pdf,"https://arxiv.org/abs/2510.02694 | Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13). | excerpt pages 4, 1","[p.4] 1, MALF integrates four core components—Seed Generation Agent, Test Case Generation Agent, Feedback Analysis Agent, and Communication Interaction Module—to generate diverse test inputs, optimize testing strategies, and refine vulnerability detection in real time. [p.1] For instance, Modbus/TCP lacks native encryption, making it susceptible to man-in-the-middle attacks, while OPC UA’s complex metadata structures create parsing vulnerabilities exploitable via malformed packets.",candidate analysis; path and input exploration; execution observation; reproduction and validation,"pp.6-10, Sec. 4.2-4.4; pp.14-16, Sec. 5.2-5.3; pp.18-20, Sec. 5.5 and Table 5","MALF 先从流量和协议知识中提取、校验字段并生成种子（pp.6-7, Sec. 4.2），再执行字段、结构和语义变异并根据 SUT 反馈调整变异密度（pp.7-10, Sec. 4.3-4.4）。p.14-15 的实验把测试用例注入真实 SUT 并记录 TCPR、ETN 和崩溃；p.18-20 的三轮测试和 Table 5 报告具体设备异常及重复触发结果。上述链条分别支持候选分析、输入探索、执行观察和系统实际触发/确认异常的 reproduction and validation；论文没有报告系统对补丁前后版本实施 patch validation，也没有把维护者后续动作算入标签。",high,no,OY,2026-08-24,ready
R2-203,A190,Multi-Agent Taint Specification Extraction for Vulnerability Detection,primary system shape,single-label,"candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent",https://arxiv.org/abs/2601.10865,papers/A190.pdf,"paper p.7-8, Sec.4.1-4.2 and Table 1",The evaluation reports detection results on CWE-Bench-Java and compares outcomes in Table 1.,"reproduction-, validation-, and repair-centered agent",p.12; papers/A190.pdf,"论文将主要系统任务表述为“ABLE 1: Validation Dataset Results ID CWE Found Alerts FP Method Ruleset GHSA-3crj-w4f5-gwh4 CWE-74✓2 0 TICR 3 GHSA-5ff8-jcf9-fw62 CWE-79✓1 0 TICR 2 GHSA-8j8c-7jfh-h6hx CWE-94✓1 0 EXH 2 GHSA-cqjg-whmm-8gv6 CWE-400 x 11 4 TICR 4 GHSA-f4hq-453j-p95f CWE-601✓1 0 TICR 2 GHSA-hpr5-wp7c-hh5q∗ CWE-79✓5 0 TICR 4 GHSA-jv35-xqg7-f92r CWE-915✓5 2 TICR 2 GHSA-r4m5-47cq-6qg8 CWE-918✓1 0 TICR 2 GHSA-x67x-98x7-wv26 CWE-78✓1 0 TICR 3 GHSA-xqh8”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,ready
R2-204,A044,Contextualizing Sink Knowledge for Java Vulnerability Discovery,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/abs/2604.01645,papers/A044.pdf,"https://arxiv.org/abs/2604.01645 | Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure). | excerpt pages 1, 2","[p.1] This knowledge spans mul- tiple dimensions: program context captures how execution reaches the sink through control flow paths, input valida- tion logic, and data dependencies; API semantics defines what constitutes unsafe usage in terms of parameter con- straints, argument types, and behavioral specifications; and vulnerability characteristics specify exploitation conditions including CWE-specific requirements and sanitizer triggers. [p.2] The agent iteratively refines exploit attempts based on execu- tion feedback, leveraging vulnerability-specific knowledge to satisfy sanitizer conditions.",context aggregation / rule extraction; feedback interpretation / loop adjustment,p.2；p.7; papers/A044.pdf,"context aggregation / rule extraction: p.2“By examining code context along these paths, the agent reasons about input format requirements, branching conditions, and API semantics to synthesize in- puts that progressively satisfy path constraints.”；feedback interpretation / loop adjustment: p.7“If unsuccessful, the execution log from the most recent attempt is incorporated into the context for the next generation iteration.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-205,A117,Orion: Fuzzing Workflow Automation,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2509.15195,papers/A117.pdf,action p.1; validation p.1,"[action p.1] uzz testing is one of the most effective techniques for finding soft- trate valid input structures and allow the fuzzer to exercise deeper ware vulnerabilities. While modern fuzzers can generate inputs and execution paths. monitor executions automatically, the overall workflow, from ana- Post-execution, the analyst must analyze results: triaging cra [validation p.1] LLM agents are validated wherever possible, and errors are fed coverage feedback once a campaign is running, but the broader back into iterative refinement loops. This mitigates the unreliability",candidate analysis; execution observation,p.2；p.9; papers/A117.pdf,"candidate analysis: p.9“UnlikeOrion, these systems focused on general vulnerability detection rather than workflow automation, and relied on organizer-provided harnesses.Single-step automa- tion:Harness generation was first demonstrated by Liu et al .”；execution observation: p.2“ax Bazalii and Marius Fleischer of the workflow: target identification, seed generation, harness creation, crash triage, and patch suggestion. Agents are equipped with the ability to invoke external tools, run code, and collect feed- back, and employ prompting strategies such as self-consistency and self-reflection to improve reliability.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
