"case_id","matrix_id","system_alias","title","fang_label","zhao_label","independent_agreement","rong_final_label","final_label","final_mismatch_dimension","final_confidence","adjudicator_reason","evidence_locator","material_availability","fang_evidence_locator_status","zhao_evidence_locator_status","final_principal_output","final_external_traceability"
"F189","FMS0734","GPTScan","GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3597503.3639117","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F190","FMS1098","PoCo","PoCo: Agentic Proof-of-Concept Exploit Generation for Smart Contracts","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3816704","partial_public_source","abstract_only","located","reproducible validation","benchmark ground truth / public material"
"F191","FMS0733","GoAT-X","GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts","aligned","overclaim","no","overclaim","overclaim","external_confirmation","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2604.24341","full_public_source","located","located","candidate judgment","author-reported external clue"
"F192","FMS0659","Fixing Security Vulnerabilities with AI in OSS-Fuzz","Fixing Security Vulnerabilities with AI in OSS-Fuzz","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2411.03346","full_public_source","located","located","runtime safety signal","author-reported external clue"
"F193","FMS1063","Orion","Orion: Fuzzing Workflow Automation","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.15195","full_public_source","located","located","reproducible validation","no external trace reported"
"F194","FMS1017","Multi-Agent Penetration Testing AI for the Web","Multi-Agent Penetration Testing AI for the Web","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2508.20816","full_public_source","located","located","candidate judgment","author-reported external clue"
"F195","FMS0651","Favia","Favia: Forensic Agent for Vulnerability-fix Identification and Analysis","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.12500","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F196","U21","Symbolic Execution Meets Multi-LLM Orchestration","Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.00034","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F197","FMS0650","FaultLine","FaultLine: Automated Proof-of-Vulnerability Generation Using LLM Agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2507.15241","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F198","U23","Towards Optimal Agentic Architectures for Offensive Security Tasks","Towards Optimal Agentic Architectures for Offensive Security Tasks","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.18718","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F199","FMS0648","FalseCrashReducer","FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI","aligned","overclaim","no","overclaim","overclaim","generalization","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2510.02185","full_public_source","located","located","runtime safety signal","benchmark ground truth / public material"
