review_order,matrix_id,record_id,system_alias,title,year,publication_status,review_scope,official_url,materials_to_review,final_lifecycle_coverage,lifecycle_review_status,final_cross_stage_capabilities,capability_review_status,final_primary_system_shape,shape_review_status,final_strongest_evidence_output,evidence_review_status,final_external_traceability,traceability_review_status,final_claim_boundary,claim_boundary_review_status,material_checked,decision_note,uncertainty_note,row_status
52,U23,CP235,Towards Optimal Agentic Architectures for Offensive Security Tasks,Towards Optimal Agentic Architectures for Offensive Security Tasks,2026,preprint,target-software study,https://arxiv.org/abs/2604.18718,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,confirm,long-horizon pentest and CRS agent,confirm,controlled task completion,confirm,benchmark ground truth / public material,confirm,Public materials support comparative claims about agent architectures and verified completion on matched offensive-security tasks; they do not establish independent real-world vulnerability discovery.,confirm,"Paper pp. 1–6 (architecture families and validator), pp. 6–9 (600-run results), and appendices pp. 15–17 (prompts/PoC validation).",Towards Optimal Agentic Architectures for Offensive Security Tasks: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
53,U25,CP237,V2E,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,2026,preprint,target-software study,https://arxiv.org/abs/2604.13611,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",confirm,reproducible validation,confirm,benchmark ground truth / public material,confirm,The public evaluation supports execution-based validation of known smart-contract vulnerability candidates with observable state or profit effects; it does not by itself establish new publicly confirmed vulnerabilities.,confirm,"Paper pp. 1–9 (V2E design/workflow), pp. 12–20 (execution-based validation evaluation and case study).","V2E: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
54,U26,CP238,COBALT-TLA,COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2604.12172,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,candidate-analysis system,confirm,controlled task completion,confirm,benchmark ground truth / public material,confirm,Public materials support agent-adjusted formal modeling and bounded counterexample generation for bridge designs; model counterexamples are not equivalent to concrete target exploits or externally confirmed vulnerabilities.,confirm,"Paper pp. 1–4 (neuro-symbolic TLC loop, three targets and counterexample results).",COBALT-TLA: observable workflow supports candidate-analysis system; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
55,U27,CP239,Argus,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,2026,preprint,target-software study,https://arxiv.org/abs/2604.06633,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,confirm,candidate-analysis system,confirm,candidate judgment,confirm,author-reported external clue,confirm,The public paper supports agent-orchestrated static candidate detection and report construction; reported CVE counts or PoC reasoning are not sufficient evidence of item-level runtime validation or public external alignment.,confirm,"Paper pp. 1–6 (Argus pipeline/PoC reasoning/reporting), pp. 6–8 (evaluation and static-only limitation).",Argus: observable workflow supports candidate-analysis system; strongest output is candidate judgment; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
56,U28,CP240,PoC-Adapt,PoC-Adapt: Semantic-Aware Automated Vulnerability Reproduction with LLM Multi-Agents and Reinforcement Learning-Driven Adaptive Policy,2026,preprint,target-software study,https://arxiv.org/abs/2604.06618,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,confirm,"reproduction-, validation-, and repair-centered agent",confirm,reproducible validation,confirm,benchmark ground truth / public material,confirm,"Public materials support semantic, execution-backed reproduction of benchmark vulnerabilities with adaptive retries; they do not establish independently discovered public vulnerability records.",confirm,"Paper pp. 1–10 (semantic oracle and adaptive policy), pp. 10–15 (PoC verification results and limitations).","PoC-Adapt: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
57,U29,CP241,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2604.06506,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",confirm,reproducible validation,confirm,author-reported external clue,confirm,The study supports feedback-guided symbolic exploration followed by concrete replay of reported crashes; aggregate new-crash claims lack item-level public external alignment.,confirm,"Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary).","Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,complete
58,U31,CP243,Fuzzing with Agents? Generators Are All You Need,Fuzzing with Agents? Generators Are All You Need,2026,preprint,target-software study,https://arxiv.org/abs/2604.01442,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,path and input exploration;execution observation,confirm,tool routing / strategy routing;feedback interpretation / loop adjustment;failure reuse / strategy update,confirm,feedback-driven fuzzing agent,confirm,controlled task completion,confirm,benchmark ground truth / public material,confirm,The public evaluation supports agent-driven generator construction and controlled coverage achievements; coverage or predicate satisfaction alone is not a runtime vulnerability signal or confirmed finding.,confirm,"Paper pp. 1–5 (Gentoo generator loop), pp. 5–10 (coverage experiments), and pp. 10–12 (discussion/conclusion).",Fuzzing with Agents? Generators Are All You Need: observable workflow supports feedback-driven fuzzing agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
59,U32,CP244,STRIATUM-CTF,STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving,2026,preprint,target-software study,https://arxiv.org/abs/2603.22577,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;governance / human gates / disclosure control,confirm,long-horizon pentest and CRS agent,confirm,controlled task completion,confirm,no external trace reported,confirm,Public materials support stateful completion of CTF challenges under the proposed protocol; competition success does not establish independent real-world vulnerability discovery or external vulnerability confirmation.,confirm,"Paper pp. 1–5 (MCP architecture, validation and scoped execution), pp. 5–8 (CTF workflow/results).",STRIATUM-CTF: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,complete
60,U33,CP245,VulnAgent-R2,VulnAgent-R2: Evidence-Calibrated Multi-Agent Auditing for Repository-Level Vulnerability Detection,2026,preprint,target-software study,https://arxiv.org/abs/2603.13384,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,candidate-analysis system,confirm,runtime safety signal,confirm,benchmark ground truth / public material,confirm,"The public artifact supports evidence-calibrated repository auditing and runtime signals for a subset of candidates; many predictions remain static or inconclusive, so it does not support blanket reproducible validation claims.",confirm,"Paper pp. 1–6 (evidence-calibrated architecture), pp. 6–11 (benchmark/dynamic-verification evaluation and limitations).",VulnAgent-R2: observable workflow supports candidate-analysis system; strongest output is runtime safety signal; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
61,U34,CP246,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,2026,preprint,target-software study,https://arxiv.org/abs/2603.08616,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,feedback-driven fuzzing agent,confirm,runtime safety signal,confirm,author-reported external clue,confirm,The study supports coverage-guided harness generation and runtime bug signals during fuzzing; the three reported bugs are not publicly aligned item by item with external records in the reviewed material.,confirm,"Paper pp. 1–5 (five-agent harness workflow), pp. 5–8 (coverage-guided evaluation and conclusion).",Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
62,U35,CP247,vEcho,vEcho: A Paradigm Shift from Vulnerability Verification to Proactive Discovery with Large Language Models,2026,preprint,target-software study,https://arxiv.org/abs/2603.01154,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,confirm,candidate-analysis system,confirm,candidate judgment,confirm,author-reported external clue,confirm,Public materials support memory-guided verification and prioritization of static vulnerability candidates; aggregate Apache confirmation claims do not supply runtime reproduction or item-level public traceability.,confirm,"Paper pp. 1–6 (memory/tool design), pp. 6–11 (benchmark and zero-day case study), pp. 11–13 (limitations/disclosure).",vEcho: observable workflow supports candidate-analysis system; strongest output is candidate judgment; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
63,U36,CP248,FuzzySQL,FuzzySQL: Uncovering Hidden Vulnerabilities in DBMS Special Features with LLM-Driven Fuzzing,2026,preprint,target-software study,https://arxiv.org/abs/2602.19490,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,confirm,feedback-driven fuzzing agent,confirm,reproducible validation,confirm,author-reported external clue,confirm,The paper supports diagnostic-guided fuzzing with replayed and minimized DBMS crash cases; aggregate CVE or fix outcomes lack item-level public alignment in the reviewed material.,confirm,"Paper pp. 1–14 (stateful fuzzing/error repair), pp. 14–22 (evaluation/cases), and p. 28 (disclosure-status appendix).",FuzzySQL: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
64,U37,CP249,QRS,QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2602.09774,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,candidate-analysis system,confirm,externally traceable material,confirm,publicly aligned external trace,confirm,Public materials support query-provenance-backed findings with PoC-oriented validation and specific package/version findings aligned to public CVE records; the claim should be limited to the individually mapped cases.,confirm,"Paper pp. 1–8 (QRS triad and validation), pp. 8–17 (historical/new-CVE evaluation), and CVE tables/appendices.",QRS: observable workflow supports candidate-analysis system; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
65,U38,CP250,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,2026,preprint,target-software study,https://arxiv.org/abs/2602.05721,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,confirm,"reproduction-, validation-, and repair-centered agent",confirm,reproducible validation,confirm,benchmark ground truth / public material,confirm,"The public study supports adaptive, execution-backed reproduction of benchmark vulnerabilities with differential checks against patched versions; it does not establish new public vulnerability discoveries.",confirm,"Paper pp. 1–10 (dual-loop reproduction architecture), pp. 10–18 (617-case evaluation and discussion).","A Dual-Loop Agent Framework for Automated Vulnerability Reproduction: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
66,U39,CP251,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities,2026,preprint,target-software study,https://arxiv.org/abs/2601.17762,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;patch validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,long-horizon pentest and CRS agent,confirm,candidate judgment,confirm,benchmark ground truth / public material,confirm,Public materials support end-to-end recurring-vulnerability candidate management and statically judged patch proposals; reused detectors and LLM review do not establish executable patch validation or new confirmed vulnerabilities.,confirm,"Paper pp. 1–7 (VKB and five-stage pipeline), pp. 7–11 (detection/repair evaluation and limitations).",Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera: observable workflow supports long-horizon pentest and CRS agent; strongest output is candidate judgment; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
67,U40,CP252,VulnResolver,VulnResolver: A Hybrid Agent Framework for LLM-Based Automated Vulnerability Issue Resolution,2026,preprint,target-software study,https://arxiv.org/abs/2601.13933,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;execution observation;reproduction and validation;patch validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,confirm,"reproduction-, validation-, and repair-centered agent",revise,reproducible validation,confirm,benchmark ground truth / public material,confirm,Public materials support issue resolution with PoC re-execution and safety-property-based repair validation on evaluated cases; they do not establish independently disclosed new vulnerability records.,confirm,"Paper pp. 1–7 (hybrid issue-resolution workflow), pp. 7–13 (SEC-bench evaluation and conclusion).","VulnResolver: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: reproduction-, validation-, and repair-centered is primary because vulnerability issue resolution, patch generation, PoC re-execution, and safety-property validation are the dominant evaluated workflow and output.",,complete
68,U41,CP253,Multi-Agent Taint Specification Extraction for Vulnerability Detection,Multi-Agent Taint Specification Extraction for Vulnerability Detection,2026,preprint,target-software study,https://arxiv.org/abs/2601.10865,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,candidate-analysis system,confirm,candidate judgment,confirm,author-reported external clue,confirm,Public materials support agent-assisted taint-specification extraction and candidate-flow detection; manually confirmed PoCs and aggregate new findings are not publicly aligned item by item and therefore do not establish external traceability.,confirm,"Paper pp. 1–10 (SemTaint architecture), pp. 10–14 (evaluation and unknown-vulnerability/disclosure boundary).",Multi-Agent Taint Specification Extraction for Vulnerability Detection: observable workflow supports candidate-analysis system; strongest output is candidate judgment; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
