matrix_id,system,title,target_domain,primary_system_shape,principal_reported_evidence_output,publication_year,source_location,extraction_basis,extraction_scope
FMS0753,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,"native binary, compiler, or operating system",feedback-driven fuzzing agent,controlled task completion,2024,"Public full text, extracted pages 1, 2, 9; https://arxiv.org/abs/2411.18143",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0768,Hound,Hound: Relation-First Knowledge Graphs for Complex-System Reasoning in Security Audits,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 4; https://arxiv.org/abs/2510.09633",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0782,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2024,"Public full text, extracted pages 2; https://arxiv.org/abs/2408.10495",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0800,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Generation and Multi-Tool Feedback,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2601.00509",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0842,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 3, 19, 34, 40, 100; https://orcid.org/0009-0004-1073-526X",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0850,Large Language Model assisted Hybrid Fuzzing,Large Language Model assisted Hybrid Fuzzing,"repository, package, or source code",feedback-driven fuzzing agent,controlled task completion,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2412.15931",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0885,Let the Trial Begin,Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,"web application, API, or database",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 11; https://doi.org/10.1145/3744916.3773256",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0890,LibLMFuzz,LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries,"native binary, compiler, or operating system",feedback-driven fuzzing agent,controlled task completion,2025,"Public full text, extracted pages 1, 2, 5; https://doi.org/10.1109/cars67163.2025.11337309",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0904,LLM Agents for Automated Web Vulnerability Reproduction,LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet?,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2510.14700",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0913,LLM-based Vulnerability Detection at Project Scale,LLM-based Vulnerability Detection at Project Scale: An Empirical Study,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 1, 4, 14; https://arxiv.org/abs/2601.19239",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0914,LLM-BSCVM,LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",candidate judgment,2025,"Public full text, extracted pages 1, 2, 3, 4; https://arxiv.org/abs/2505.17416",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0916,LLM-Driven SAST-Genius,LLM-Driven SAST-Genius: A Hybrid Static Analysis Framework for Comprehensive and Actionable Security,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",candidate judgment,2025,"Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2509.15433",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0922,LLM-JDFuzz,LLM-JDFuzz: A Large Language Model-Based Automated Java Deserialization Payload Generation Framework,"repository, package, or source code",candidate-analysis system,reproducible validation,2026,"Public full text, extracted pages 1, 3, 4, 14, 17; https://doi.org/10.3390/electronics15050954",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0925,LLM-SmartAudit,LLM-SmartAudit: Advanced Smart Contract Vulnerability Detection,smart contract and blockchain,candidate-analysis system,candidate judgment,2024,"Public full text, extracted pages 3, 9; https://arxiv.org/abs/2410.09381",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0927,LLM4CVE,LLM4CVE: Enabling Iterative Automated Vulnerability Repair with Large Language Models,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 4, 5, 16; https://arxiv.org/abs/2501.03446",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0933,LLMs and Fuzzing in Tandem,LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 1, 7, 13; https://arxiv.org/abs/2507.05272",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0935,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Model,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Models,"repository, package, or source code",feedback-driven fuzzing agent,runtime safety signal,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2510.10179",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0945,Locus,Locus: Agentic Predicate Synthesis for Directed Fuzzing,"web application, API, or database",feedback-driven fuzzing agent,runtime safety signal,2025,"Public full text, extracted pages 1, 2, 4, 6; https://doi.org/10.1145/3744916.3773102",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0961,Mapping the Exploitation Surface,"Mapping the Exploitation Surface: A 10,000-Trial Taxonomy of What Makes LLM Agents Exploit Vulnerabilities","cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 13; https://arxiv.org/abs/2604.04561",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0964,MARVEL,MARVEL: Multi-Agent RTL Vulnerability Extraction using Large Language Models,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 1, 2; https://doi.org/10.1145/3832325",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0966,MASFuzzer,MASFuzzer: Fuzz Driver Generation and Adaptive Scheduling via Multidimensional API Sequences,"repository, package, or source code",feedback-driven fuzzing agent,runtime safety signal,2026,"Public full text, extracted pages 1, 2; https://arxiv.org/abs/2604.17977",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0968,Mastermind,Mastermind: Strategy-grounded Learning for Repository-Scale Vulnerability Reproduction,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 2, 3, 4, 5; https://arxiv.org/abs/2607.01764",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0969,May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learni,May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learning Framework Fuzzing via LLMs,mixed or general software targets,feedback-driven fuzzing agent,runtime safety signal,2025,"Public full text, extracted pages 1, 9, 12, 16; https://arxiv.org/abs/2506.17642",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1017,Multi-Agent Penetration Testing AI for the Web,Multi-Agent Penetration Testing AI for the Web,"web application, API, or database",long-horizon pentest and CRS agent,candidate judgment,2025,"Public full text, extracted pages 1, 2, 3, 12; https://arxiv.org/abs/2508.20816",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1024,Mystique,Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 3, 6, 7; https://doi.org/10.1145/3715718",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1034,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 1, 5, 11, 12; https://arxiv.org/abs/2504.16057",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1041,Okara,Okara: Detection and Attribution of TLS Man-in-the-Middle Vulnerabilities in Android Apps with Foundation Models,"web application, API, or database","reproduction-, validation-, and repair-centered agent",candidate judgment,2026,"Public full text, extracted pages ; https://arxiv.org/abs/2601.22770",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1055,"One Signature, Multiple Payments","One Signature, Multiple Payments: Demystifying and Detecting Signature Replay Vulnerabilities in Smart Contracts",smart contract and blockchain,candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 1, 2; https://doi.org/10.1145/3744916.3773198",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1063,Orion,Orion: Fuzzing Workflow Automation,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 3, 5, 9, 11; https://arxiv.org/abs/2509.15195",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1076,PATCHEVAL,PATCHEVAL: A New Benchmark for Evaluating LLMs on Patching Real-World Vulnerabilities,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2511.11019",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1081,Pen-Strategist,Pen-Strategist: A Reasoning Framework for Penetration Testing Strategy Formation and Analysis,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2605.04499",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1083,PenForge,PenForge: On-the-Fly Expert Agent Construction for Automated Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2601.06910",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1087,PentestEval,PentestEval: Benchmarking LLM-based Penetration Testing with Modular and Stage-Level Design,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 3, 4, 6, 11; https://arxiv.org/abs/2512.14233",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1088,PentestMCP,PentestMCP: LLM and MCP Based Multi-Agent Framework for Automated Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 22; https://doi.org/10.21203/rs.3.rs-7582841/v1",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1093,PILOT,"PILOT: Command-Line Interface Fuzzing Via Path-Guided, Iterative Large Language Model Prompting",protocol and networked service,feedback-driven fuzzing agent,runtime safety signal,2026,"Public full text, extracted pages 1, 3; https://doi.org/10.1109/sp63933.2026.00211",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1095,PoCEvolve,PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 2, 3, 12; https://arxiv.org/abs/2607.22076",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1096,PoCGen,PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 2, 3, 15; https://arxiv.org/abs/2506.04962",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1098,PoCo,PoCo: Agentic Proof-of-Concept Exploit Generation for Smart Contracts,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 4, 8, 17; https://doi.org/10.1145/3816704",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1135,QLCoder,QLCoder: A Query Synthesizer For Static Analysis of Security Vulnerabilities,"web application, API, or database",candidate-analysis system,reproducible validation,2025,"Public full text, extracted pages 1, 2, 10; https://arxiv.org/abs/2511.08462",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1136,QLPro,QLPro: Automated Code Vulnerability Discovery via LLM and Static Code Analysis Integration,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2506.23644",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1149,RapidPen,RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2502.16730",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1161,Red-MIRROR,Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 9, 10; https://arxiv.org/abs/2603.27127",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1227,SAVANT,SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 2, 5, 9; https://arxiv.org/abs/2506.17798",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1228,SCAFFOLD-CEGIS,SCAFFOLD-CEGIS: Preventing Latent Security Degradation in LLM-Driven Iterative Code Refinement,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 2, 3, 4, 6; https://arxiv.org/abs/2603.08520",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1233,SCGAgent,SCGAgent: Recreating the Benefits of Reasoning Models for Secure Code Generation with Agentic Workflows,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 2, 3, 12; https://arxiv.org/abs/2506.07313",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1239,SEC-bench Pro,SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?,"native binary, compiler, or operating system",long-horizon pentest and CRS agent,reproducible validation,2026,"Public full text, extracted pages 1, 2, 3, 6; https://arxiv.org/abs/2605.26548",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1261,SecureFixAgent,SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",controlled task completion,2025,"Public full text, extracted pages 1, 5, 6; https://doi.org/10.1109/icmla66185.2025.00212",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1275,Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and ,Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and Patching,"firmware, embedded, IoT, or OT","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 2, 8; https://doi.org/10.1109/cascon66301.2025.00044",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1279,Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerabi,Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",controlled task completion,2025,"Public full text, extracted pages 3; https://arxiv.org/abs/2502.18515",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1283,Securing the Dark Matter,Securing the Dark Matter: A Semantic-Enhanced Neuro-Symbolic Framework for Supply Chain Analysis of Opaque Industrial Software,"native binary, compiler, or operating system",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 2, 4, 5; https://arxiv.org/abs/2605.07737",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1299,Security in a Workflow,Security in a Workflow: Exploring Role-Based Agentic Architectures for Vulnerability Handling,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",controlled task completion,2026,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2606.14261",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1316,SeedSmith,SeedSmith: LLM-Driven Seed Synthesis for Directed Fuzzing,smart contract and blockchain,feedback-driven fuzzing agent,reproducible validation,2026,"Public full text, extracted pages 1, 2, 3, 4, 13; https://arxiv.org/abs/2607.08949",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1334,ShadowProbe,ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",candidate judgment,2026,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2607.05474",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1338,Sifting the Noise,Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 1, 3; https://doi.org/10.1145/3832100",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1394,StealthBench,StealthBench: Measuring Operational Stealth in Autonomous Offensive-Security Agents,"repository, package, or source code",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 5; https://arxiv.org/abs/2607.26314",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1473,Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code,Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code,"firmware, embedded, IoT, or OT","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 2; https://arxiv.org/abs/2607.21641",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1492,Towards Effective Offensive Security LLM Agents,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark","cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 3, 7, 8; https://arxiv.org/abs/2508.05674",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1509,Trace,Trace: Securing Smart Contract Repository Against Access Control Vulnerability,smart contract and blockchain,candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 1, 11; https://arxiv.org/abs/2510.19254",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1514,Training Language Model Agents to Find Vulnerabilities with CTF-Dojo,Training Language Model Agents to Find Vulnerabilities with CTF-Dojo,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 9, 10, 14, 30; https://arxiv.org/abs/2508.18370",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1530,TypePilot,TypePilot: Leveraging the Scala Type System for Secure LLM-generated Code,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",candidate judgment,2025,"Public full text, extracted pages 2, 4, 9; https://arxiv.org/abs/2510.11151",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1561,VCAO,VCAO: Verifier-Centered Agentic Orchestration for Strategic OS Vulnerability Discovery,"native binary, compiler, or operating system",long-horizon pentest and CRS agent,reproducible validation,2026,"Public full text, extracted pages 1, 2, 3; http://arxiv.org/abs/2604.08291",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1571,VEXAIoT,VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents,"firmware, embedded, IoT, or OT",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 6; https://arxiv.org/abs/2607.09653",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1573,VIPER-MCP,VIPER-MCP: Detecting and Exploiting Taint-Style Vulnerabilities in Model Context Protocol Servers,protocol and networked service,feedback-driven fuzzing agent,reproducible validation,2026,"Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2605.21392",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1586,VulnBot,VulnBot: Autonomous Penetration Testing for A Multi-Agent Collaborative Framework,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 5, 6, 12; https://arxiv.org/abs/2501.13411",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1592,Vulnerability-Triggering Test Case Generation from Third-Party Libraries,Vulnerability-Triggering Test Case Generation from Third-Party Libraries,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2024,"Public full text, extracted pages 3, 11; https://arxiv.org/abs/2409.16701",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS1607,Well Begun is Half Done,Well Begun is Half Done: Location-Aware and Trace-Guided Iterative Automated Vulnerability Repair,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 5, 6, 12, 13; https://doi.org/10.1145/3744916.3773218",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
